"","Column_ID","ID_unique","CO2_C_mg_m2_h","CH4_C_mg_m2_h","Date","t","start_time","end_time","Headspace_height_cm","DO_mg_L","DO_.","Water_temp_C","Note","volume_L","area_m2","ibutton_ID","leaf_treatment","sediment_g","dry_input_leaves_g","dry_output_leaves_g","ceramic_pot_g_leaves","ceramic_pot.dry_leaves_g","ceramic_pot.burned_leaves_g","leaf_OM","incubation_water_mL","groundwater_ml","temp_C"
"1",1,"2022-07-26_dry_1",19.5559919595911,0.00552230128516557,"2022-07-26","dry",2022-07-26 13:50:30,2022-07-26 13:53:00,30,NA,NA,NA,"",2.12646552739859,0.007088218,43,"control",499.3,0,0,NA,NA,NA,NA,500,1000,25
"2",1,"2022-07-26_t0_1",27.0111255880238,0.000451693078480179,"2022-07-26","t0",2022-07-26 17:09:30,2022-07-26 17:11:00,5.8,NA,NA,NA,"",0.411116668630394,0.007088218,43,"control",499.3,0,0,NA,NA,NA,NA,500,1000,25
"3",1,"2022-07-27_t24_1",12.7584249115905,0.00160054334123844,"2022-07-27","t24",2022-07-27 16:08:30,2022-07-27 16:12:00,6.4,NA,NA,25.6,"",0.454216178244966,0.007088218,43,"control",499.3,0,0,NA,NA,NA,NA,500,1000,25
"4",1,"2022-07-28_t48_1",11.7301475460561,0.00343433619009343,"2022-07-28","t48",2022-07-28 15:35:30,2022-07-28 15:38:00,7.4,NA,NA,25.3,"",0.525098362491586,0.007088218,43,"control",499.3,0,0,NA,NA,NA,NA,500,1000,25
"5",1,"2022-07-30_t4_1",11.078362234918,0.00394796737583386,"2022-07-30","t4",2022-07-30 15:57:30,2022-07-30 16:00:00,8.9,5.78,71.6,25.1,"",0.631421638861515,0.007088218,43,"control",499.3,0,0,NA,NA,NA,NA,500,1000,25
"6",1,"2022-08-03_t8_1",17.3207713755794,0.00392509919351065,"2022-08-03","t8",2022-08-03 16:03:30,2022-08-03 16:06:00,10.4,1.79,22.9,27,"",0.737744915231445,0.007088218,43,"control",499.3,0,0,NA,NA,NA,NA,500,1000,25
"7",1,"2022-08-11_t16_1",19.8882538446831,0.0260089433716397,"2022-08-11","t16",2022-08-11 16:19:30,2022-08-11 16:22:00,14.7,7.46,91.1,24.5,"",1.04253830749191,0.007088218,43,"control",499.3,0,0,NA,NA,NA,NA,500,1000,25
"8",2,"2022-07-26_dry_2",45.579913020228,0.0129050595364009,"2022-07-26","dry",2022-07-26 13:46:30,2022-07-26 13:49:00,30,NA,NA,NA,"",2.12646552739859,0.007088218,22,"low",501.3,2.0147,1.7039,25.3191,26.1543,25.5067,77.53831418,500,1000,25
"9",2,"2022-07-26_t0_2",27.6955107586734,0.000698048871742311,"2022-07-26","t0",2022-07-26 17:04:30,2022-07-26 17:07:00,5.4,NA,NA,NA,"",0.382763794931746,0.007088218,22,"low",501.3,2.0147,1.7039,25.3191,26.1543,25.5067,77.53831418,500,1000,25
"10",2,"2022-07-27_t24_2",75.8032577053143,0.00203297933935189,"2022-07-27","t24",2022-07-27 16:03:30,2022-07-27 16:06:00,5.9,NA,NA,26.6,"",0.418775086121656,0.007088218,22,"low",501.3,2.0147,1.7039,25.3191,26.1543,25.5067,77.53831418,500,1000,25
"11",2,"2022-07-28_t48_2",51.3547518840777,0.00351346833629455,"2022-07-28","t48",2022-07-28 15:31:30,2022-07-28 15:34:00,6.4,NA,NA,26.1,"",0.454216178244966,0.007088218,22,"low",501.3,2.0147,1.7039,25.3191,26.1543,25.5067,77.53831418,500,1000,25
"12",2,"2022-07-30_t4_2",49.9807172995175,0.018551748940052,"2022-07-30","t4",2022-07-30 15:52:30,2022-07-30 15:55:00,7.5,0.24,3,26.6,"",0.532186580916248,0.007088218,22,"low",501.3,2.0147,1.7039,25.3191,26.1543,25.5067,77.53831418,500,1000,25
"13",2,"2022-08-03_t8_2",46.3550946027391,0.184526565400632,"2022-08-03","t8",2022-08-03 15:59:30,2022-08-03 16:02:00,10,0.18,2.4,27.3,"",0.709392041532797,0.007088218,22,"low",501.3,2.0147,1.7039,25.3191,26.1543,25.5067,77.53831418,500,1000,25
"14",2,"2022-08-11_t16_2",43.6641777550706,1.61816061388109,"2022-08-11","t16",2022-08-11 16:15:30,2022-08-11 16:18:00,13.4,0.24,2.9,25.7,"",0.950391467971304,0.007088218,22,"low",501.3,2.0147,1.7039,25.3191,26.1543,25.5067,77.53831418,500,1000,25
"15",3,"2022-07-26_dry_3",43.7639267722699,0.0156753979451729,"2022-07-26","dry",2022-07-26 13:42:30,2022-07-26 13:45:00,30,NA,NA,NA,"",2.12646552739859,0.007088218,21,"medium",500.4,4.9982,3.8299,24.5372,26.1877,24.8232,82.6719176,500,1000,25
"16",3,"2022-07-26_t0_3",33.955834106305,0.00101290216903659,"2022-07-26","t0",2022-07-26 17:00:30,2022-07-26 17:03:00,5.4,NA,NA,NA,"",0.382763794931746,0.007088218,21,"medium",500.4,4.9982,3.8299,24.5372,26.1877,24.8232,82.6719176,500,1000,25
